sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T2_4567_Tol,1,3,|3|2|1|,||13|2|,0,0,1,0,14376,0,0,0,0,0
T2_4567_Tol,1,3,||2|13|,||13|2|,1,0,1,0,27101,12725,12725,0,0,0
T2_4567_Tol,1,3,|2||13|,||13|2|,2,0,1,0,29254,14878,2153,0,0,0
T2_4567_Tol,1,3,|23||1|,||13|2|,3,0,1,0,32046,17670,2792,0,0,0
T2_4567_Tol,1,3,|23|1||,||13|2|,4,0,1,0,33283,18907,1237,0,0,0
T2_4567_Tol,1,3,|2|13||,||13|2|,5,0,1,0,34556,20180,1273,0,0,0
T2_4567_Tol,1,3,||13|2|,||13|2|,6,0,1,3,35997,21621,1441,1,4,8
T2_4567_Tol,2,3,|3|1|2|,|3|2|1|,0,0,1,3,38347,0,0,0,0,8
T2_4567_Tol,2,3,|32|1||,|3|2|1|,1,0,1,3,43291,4944,4944,0,0,8
T2_4567_Tol,2,3,|32||1|,|3|2|1|,2,0,1,3,44636,6289,1345,0,0,8
T2_4567_Tol,2,3,|3|2|1|,|3|2|1|,3,0,1,6,45785,7438,1149,1,3,18
T2_4567_Tol,3,3,|13|2||,|21||3|,0,0,1,6,46883,0,0,0,0,18
T2_4567_Tol,3,3,|1|2|3|,|21||3|,1,0,1,6,49702,2819,2819,0,0,18
T2_4567_Tol,3,3,||2|31|,|21||3|,2,0,1,6,51690,4807,1988,0,0,18
T2_4567_Tol,3,3,|2||31|,|21||3|,3,0,1,6,52715,5832,1025,0,0,18
T2_4567_Tol,3,3,|21||3|,|21||3|,4,0,1,9,53948,7065,1233,1,4,28
T2_4567_Tol,4,3,|12||3|,|2||13|,0,0,1,9,55104,0,0,0,0,28
T2_4567_Tol,4,3,|1|2|3|,|2||13|,1,0,1,9,61538,6434,6434,0,0,28
T2_4567_Tol,4,3,|1|23||,|2||13|,2,0,1,9,64163,9059,2625,0,0,28
T2_4567_Tol,4,3,||23|1|,|2||13|,3,0,1,9,65423,10319,1260,0,0,28
