sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T2_4571_tol,1,3,|3|2|1|,||3|12|,0,0,1,0,36088,0,0,0,0,0
T2_4571_tol,1,3,|3||12|,||3|12|,1,0,1,0,40665,4577,4577,0,0,0
T2_4571_tol,1,3,||3|12|,||3|12|,2,0,1,3,41695,5607,1030,1,2,10
T2_4571_tol,2,3,||31|2|,|13|2||,0,0,1,3,46675,0,0,0,0,10
T2_4571_tol,2,3,|1|3|2|,|13|2||,1,0,1,3,50711,4036,4036,0,0,10
T2_4571_tol,2,3,|13||2|,|13|2||,2,0,1,3,51697,5022,986,0,0,10
T2_4571_tol,2,3,|13|2||,|13|2||,3,0,1,6,52484,5809,787,1,3,20
T2_4571_tol,3,3,|23||1|,||231||,0,0,1,6,53962,0,0,0,0,20
T2_4571_tol,3,3,|2||13|,||231||,1,0,1,6,59861,5899,5899,0,0,20
T2_4571_tol,3,3,||2|13|,||231||,2,0,1,6,60881,6919,1020,0,0,20
T2_4571_tol,3,3,||23|1|,||231||,3,0,1,6,61688,7726,807,0,0,20
T2_4571_tol,3,3,||231||,||231||,4,0,1,9,62443,8481,755,1,4,30
T2_4571_tol,4,3,|213|||,||21|3|,0,0,1,9,63589,0,0,0,0,30
T2_4571_tol,4,3,|21||3|,||21|3|,1,0,1,9,65967,2378,2378,0,0,30
T2_4571_tol,4,3,|2||31|,||21|3|,2,0,1,9,67169,3580,1202,0,0,30
T2_4571_tol,4,3,||2|31|,||21|3|,3,0,1,9,68182,4593,1013,0,0,30
T2_4571_tol,4,3,||21|3|,||21|3|,4,0,1,12,68959,5370,777,1,4,40
T2_4571_tol,5,3,|3||12|,|1|32||,0,0,1,12,69889,0,0,0,0,40
T2_4571_tol,5,3,||3|12|,|1|32||,1,0,1,12,72803,2914,2914,0,0,40
T2_4571_tol,5,3,||32|1|,|1|32||,2,0,1,12,73849,3960,1046,0,0,40
T2_4571_tol,5,3,|1|32||,|1|32||,3,0,1,15,74710,4821,861,1,3,50
T2_4571_tol,6,3,|1||32|,|21|3||,0,0,1,15,75639,0,0,0,0,50
T2_4571_tol,6,3,|12||3|,|21|3||,1,0,1,15,79161,3522,3522,0,0,50
T2_4571_tol,6,3,|12|3||,|21|3||,2,0,1,15,80197,4558,1036,0,0,50
T2_4571_tol,6,3,|1|3|2|,|21|3||,3,0,1,15,81154,5515,957,0,0,50
T2_4571_tol,6,3,||31|2|,|21|3||,4,0,1,15,83146,7507,1992,0,0,50
