ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum
T0_sub,T0_trial,T0_size,T0_current,T0_end,T0_step,T0_reset,T0_tries,T0_score,T0_abstime,T0_trialtime,T0_clicktime,T0_done,T0_movimentos_minimos,T0_pontuacao_acumulada,T1_sub,T1_trial,T1_size,T1_current,T1_end,T1_step,T1_reset,T1_tries,T1_score,T1_abstime,T1_trialtime,T1_clicktime,T1_done,T1_movimentos_minimos,T1_pontuacao_acumulada,T2_sub,T2_trial,T2_size,T2_current,T2_end,T2_step,T2_reset,T2_tries,T2_score,T2_abstime,T2_trialtime,T2_clicktime,T2_done,T2_movimentos_minimos,T2_pontuacao_acumulada
T0_4572_tol,1,3,||32|1|,|3|12||,0,0,1,0,62602,0,0,0,0,0,T1_4572_tol,1,3,||31|2|,|12||3|,0,0,1,0,52651,0,0,0,0,0,T2_4572_tol,1,3,|2|1|3|,||21|3|,0,0,1,0,37830,0,0,0,0,0
T0_4572_tol,1,3,||3|12|,|3|12||,1,0,1,0,80259,17657,17657,0,0,0,T1_4572_tol,1,3,|2|31||,|12||3|,1,0,1,0,56802,4151,4151,0,0,0,T2_4572_tol,1,3,||12|3|,||21|3|,1,0,1,0,39824,1994,1994,0,0,0
T0_4572_tol,1,3,|3||12|,|3|12||,2,0,1,0,81281,18679,1022,0,0,0,T1_4572_tol,1,3,|21|3||,|12||3|,2,0,1,0,57941,5290,1139,0,0,0,T2_4572_tol,1,3,||1|32|,||21|3|,2,0,1,0,41768,3938,1944,0,0,0
T0_4572_tol,1,3,|32||1|,|3|12||,3,0,1,0,83009,20407,1728,0,0,0,T1_4572_tol,1,3,|21||3|,|12||3|,3,0,1,0,58977,6326,1036,0,0,0,T2_4572_tol,1,3,|1||32|,||21|3|,3,0,1,0,42752,4922,984,0,0,0
T0_4572_tol,1,3,|32|1||,|3|12||,4,0,1,0,84457,21855,1448,0,0,0,T1_4572_tol,1,3,|2|1|3|,|12||3|,4,0,1,0,64091,11440,5114,0,0,0,T2_4572_tol,1,3,|1|2|3|,||21|3|,4,0,1,0,43622,5792,870,0,0,0
T0_4572_tol,1,3,|3|12||,|3|12||,5,0,1,3,85768,23166,1311,1,5,10,T1_4572_tol,1,3,||1|32|,|12||3|,5,0,1,0,65413,12762,1322,0,0,0,T2_4572_tol,1,3,||21|3|,||21|3|,5,0,1,3,44223,6393,601,1,3,8
T0_4572_tol,2,3,||1|23|,|2|3|1|,0,0,1,3,90829,0,0,0,0,10,T1_4572_tol,1,3,|1||32|,|12||3|,6,0,1,0,66611,13960,1198,0,0,0,T2_4572_tol,2,3,|||321|,|3|2|1|,0,0,1,3,45715,0,0,0,0,8
T0_4572_tol,2,3,||13|2|,|2|3|1|,1,0,1,3,94112,3283,3283,0,0,10,T1_4572_tol,1,3,|12||3|,|12||3|,7,0,1,3,67611,14960,1000,1,3,6,T2_4572_tol,2,3,||1|32|,|3|2|1|,1,0,1,3,49011,3296,3296,0,0,8
T0_4572_tol,2,3,|2|13||,|2|3|1|,2,0,1,3,95989,5160,1877,0,0,10,T1_4572_tol,2,3,|2|1|3|,|13|2||,0,0,1,3,70599,0,0,0,0,6,T2_4572_tol,2,3,||12|3|,|3|2|1|,2,0,1,3,50670,4955,1659,0,0,8
T0_4572_tol,2,3,|23|1||,|2|3|1|,3,0,1,3,97860,7031,1871,0,0,10,T1_4572_tol,2,3,|2||31|,|13|2||,1,0,1,3,74782,4183,4183,0,0,6,T2_4572_tol,2,3,|3|12||,|3|2|1|,3,0,1,3,51270,5555,600,0,0,8
T0_4572_tol,2,3,|23||1|,|2|3|1|,4,0,1,3,98977,8148,1117,0,0,10,T1_4572_tol,2,3,||2|31|,|13|2||,2,0,1,3,75864,5265,1082,0,0,6,T2_4572_tol,2,3,|32|1||,|3|2|1|,4,0,1,3,52353,6638,1083,0,0,8
T0_4572_tol,2,3,|2|3|1|,|2|3|1|,5,0,1,6,99955,9126,978,1,5,20,T1_4572_tol,2,3,|1|2|3|,|13|2||,3,0,1,3,77120,6521,1256,0,0,6,T2_4572_tol,2,3,|32||1|,|3|2|1|,5,0,1,3,53049,7334,696,0,0,8
T0_4572_tol,3,3,|312|||,||1|32|,0,0,1,6,101613,0,0,0,0,20,T1_4572_tol,2,3,|13|2||,|13|2||,4,0,1,6,78141,7542,1021,1,4,16,T2_4572_tol,2,3,|3|2|1|,|3|2|1|,6,0,1,6,53824,8109,775,1,5,17
T0_4572_tol,3,3,|31||2|,||1|32|,1,0,1,6,112975,11362,11362,0,0,20,T1_4572_tol,3,3,|2||13|,|1|3|2|,0,0,1,6,78961,0,0,0,0,16,T2_4572_tol,3,3,||1|32|,|3|12||,0,0,1,6,54485,0,0,0,0,17
T0_4572_tol,3,3,|3|1|2|,||1|32|,2,0,1,6,114097,12484,1122,0,0,20,T1_4572_tol,3,3,|2|3|1|,|1|3|2|,1,0,1,6,81287,2326,2326,0,0,16,T2_4572_tol,3,3,||12|3|,|3|12||,1,0,1,6,56236,1751,1751,0,0,17
T0_4572_tol,3,3,|3|12||,||1|32|,3,0,1,6,115526,13913,1429,0,0,20,T1_4572_tol,3,3,|2|31||,|1|3|2|,2,0,1,6,82182,3221,895,0,0,16,T2_4572_tol,3,3,|3|12||,|3|12||,2,0,1,9,57037,2552,801,1,2,27
T0_4572_tol,3,3,||12|3|,||1|32|,4,0,1,6,116359,14746,833,0,0,20,T1_4572_tol,3,3,||31|2|,|1|3|2|,3,0,1,6,82981,4020,799,0,0,16,T2_4572_tol,4,3,|32||1|,|2|1|3|,0,0,1,9,57639,0,0,0,0,27
T0_4572_tol,3,3,||1|32|,||1|32|,5,0,1,9,117262,15649,903,1,5,30,T1_4572_tol,3,3,|1|3|2|,|1|3|2|,4,0,1,9,83778,4817,797,1,4,26,T2_4572_tol,4,3,|32|1||,|2|1|3|,1,0,1,9,59494,1855,1855,0,0,27
T0_4572_tol,4,3,|2|13||,|31||2|,0,0,1,9,118427,0,0,0,0,30,T1_4572_tol,4,3,||1|23|,|1||32|,0,0,1,9,84872,0,0,0,0,26,T2_4572_tol,4,3,|3|12||,|2|1|3|,2,0,1,9,60584,2945,1090,0,0,27
T0_4572_tol,4,3,||13|2|,|31||2|,1,0,1,9,120691,2264,2264,0,0,30,T1_4572_tol,4,3,|1||23|,|1||32|,1,0,1,9,86861,1989,1989,0,0,26,T2_4572_tol,4,3,||12|3|,|2|1|3|,3,0,1,9,61222,3583,638,0,0,27
T0_4572_tol,4,3,|3|1|2|,|31||2|,2,0,1,9,121567,3140,876,0,0,30,T1_4572_tol,4,3,|1|3|2|,|1||32|,2,0,1,9,87759,2887,898,0,0,26,T2_4572_tol,4,3,|2|1|3|,|2|1|3|,4,0,1,12,62897,5258,1675,1,4,37
T0_4572_tol,4,3,|31||2|,|31||2|,3,0,1,12,122374,3947,807,1,3,40,T1_4572_tol,4,3,|12|3||,|1||32|,3,0,1,9,89287,4415,1528,0,0,26,T2_4572_tol,5,3,|3|1|2|,|||312|,0,0,1,12,63501,0,0,0,0,37
T0_4572_tol,5,3,|1|32||,|1|2|3|,0,0,1,12,123610,0,0,0,0,40,T1_4572_tol,4,3,|12||3|,|1||32|,4,0,1,9,90020,5148,733,0,0,26,T2_4572_tol,5,3,|3|12||,|||312|,1,0,1,12,65447,1946,1946,0,0,37
T0_4572_tol,5,3,|12|3||,|1|2|3|,1,0,1,12,125927,2317,2317,0,0,40,T1_4572_tol,4,3,|1||32|,|1||32|,5,0,1,12,91268,6396,1248,1,5,36,T2_4572_tol,5,3,||12|3|,|||312|,2,0,1,12,66272,2771,825,0,0,37
T0_4572_tol,5,3,|12||3|,|1|2|3|,2,0,1,12,126697,3087,770,0,0,40,T1_4572_tol,5,3,||132||,|31|2||,0,0,1,12,91831,0,0,0,0,36,T2_4572_tol,5,3,|2|1|3|,|||312|,3,0,1,12,67084,3583,812,0,0,37
T0_4572_tol,5,3,|1|2|3|,|1|2|3|,3,0,1,15,127537,3927,840,1,3,50,T1_4572_tol,5,3,||13|2|,|31|2||,1,0,1,12,95415,3584,3584,0,0,36,T2_4572_tol,5,3,|2||31|,|||312|,4,0,1,12,67844,4343,760,0,0,37
T0_4572_tol,6,3,|23|1||,||1|23|,0,0,1,15,128424,0,0,0,0,50,T1_4572_tol,5,3,|3|1|2|,|31|2||,2,0,1,12,97079,5248,1664,0,0,36,T2_4572_tol,5,3,|||312|,|||312|,5,0,1,15,68545,5044,701,1,5,47
T0_4572_tol,6,3,|2|1|3|,||1|23|,1,0,1,15,129987,1563,1563,0,0,50,T1_4572_tol,5,3,|31||2|,|31|2||,3,0,1,12,97879,6048,800,0,0,36,T2_4572_tol,6,3,|1|3|2|,|31||2|,0,0,1,15,69138,0,0,0,0,47
T0_4572_tol,6,3,||1|32|,||1|23|,2,0,1,15,131196,2772,1209,0,0,50,T1_4572_tol,5,3,|31|2||,|31|2||,4,0,1,15,98546,6715,667,1,4,46,T2_4572_tol,6,3,||3|21|,|31||2|,1,0,1,15,71242,2104,2104,0,0,47
T0_4572_tol,6,3,||12|3|,||1|23|,3,0,1,15,135330,6906,4134,0,0,50,T1_4572_tol,6,3,||12|3|,|31||2|,0,0,1,15,99254,0,0,0,0,46,T2_4572_tol,6,3,|3||21|,|31||2|,2,0,1,15,72004,2866,762,0,0,47
T0_4572_tol,6,3,|3|12||,||1|23|,4,0,1,15,136145,7721,815,0,0,50,T1_4572_tol,6,3,|3|12||,|31||2|,1,0,1,15,101272,2018,2018,0,0,46,T2_4572_tol,6,3,|31||2|,|31||2|,3,0,1,18,73318,4180,1314,1,3,57
T0_4572_tol,6,3,|3|1|2|,||1|23|,5,0,1,15,136840,8416,695,0,0,50,T1_4572_tol,6,3,|3|1|2|,|31||2|,2,0,1,15,101985,2731,713,0,0,46,T2_4572_tol,7,3,|3|12||,||23|1|,0,0,1,18,74020,0,0,0,0,57
T0_4572_tol,6,3,||1|23|,||1|23|,6,0,1,18,137832,9408,992,1,3,57,T1_4572_tol,6,3,|31||2|,|31||2|,3,0,1,18,102657,3403,672,1,3,56,T2_4572_tol,7,3,|32|1||,||23|1|,1,0,1,18,75673,1653,1653,0,0,57
T0_4572_tol,7,3,||32|1|,||23|1|,0,0,1,18,138513,0,0,0,0,57,T1_4572_tol,7,3,|1|2|3|,|2||13|,0,0,1,18,103258,0,0,0,0,56,T2_4572_tol,7,3,|32||1|,||23|1|,2,0,1,18,76366,2346,693,0,0,57
T0_4572_tol,7,3,||3|12|,||23|1|,1,0,1,18,145507,6994,6994,0,0,57,T1_4572_tol,7,3,|1|23||,|2||13|,1,0,1,18,106119,2861,2861,0,0,56,T2_4572_tol,7,3,|3|2|1|,||23|1|,3,0,1,18,77187,3167,821,0,0,57
T0_4572_tol,7,3,|3||12|,||23|1|,2,0,1,18,146258,7745,751,0,0,57,T1_4572_tol,7,3,||23|1|,|2||13|,2,0,1,18,107141,3883,1022,0,0,56,T2_4572_tol,7,3,||23|1|,||23|1|,4,0,1,21,78044,4024,857,1,4,67
T0_4572_tol,7,3,|3|2|1|,||23|1|,3,0,1,18,147128,8615,870,0,0,57,T1_4572_tol,7,3,||2|13|,|2||13|,3,0,1,18,107830,4572,689,0,0,56,T2_4572_tol,8,3,||3|21|,|13|2||,0,0,1,21,78727,0,0,0,0,67
T0_4572_tol,7,3,||23|1|,||23|1|,4,0,1,21,147949,9436,821,1,4,67,T1_4572_tol,7,3,|2||13|,|2||13|,4,0,1,21,108479,5221,649,1,4,66,T2_4572_tol,8,3,|1|3|2|,|13|2||,1,0,1,21,81958,3231,3231,0,0,67
T0_4572_tol,8,3,|23|1||,|3|2|1|,0,0,1,21,149038,0,0,0,0,67,T1_4572_tol,8,3,|2|1|3|,|12|3||,0,0,1,21,109139,0,0,0,0,66,T2_4572_tol,8,3,|13||2|,|13|2||,2,0,1,21,82563,3836,605,0,0,67
T0_4572_tol,8,3,|23||1|,|3|2|1|,1,0,1,21,150927,1889,1889,0,0,67,T1_4572_tol,8,3,||1|32|,|12|3||,1,0,1,21,111777,2638,2638,0,0,66,T2_4572_tol,8,3,|13|2||,|13|2||,3,0,1,24,83215,4488,652,1,3,77
T0_4572_tol,8,3,|2||13|,|3|2|1|,2,0,1,21,151973,2935,1046,0,0,67,T1_4572_tol,8,3,|1||32|,|12|3||,2,0,1,21,112920,3781,1143,0,0,66,T2_4572_tol,9,4,|3||421|,|24|1|3|,0,0,1,24,83816,0,0,0,0,77
T0_4572_tol,8,3,||2|13|,|3|2|1|,3,0,1,21,152719,3681,746,0,0,67,T1_4572_tol,8,3,|12||3|,|12|3||,3,0,1,21,113931,4792,1011,0,0,66,T2_4572_tol,9,4,|3||421|,|24|1|3|,1,0,1,24,90526,6710,6710,0,0,77
T0_4572_tol,8,3,|3|2|1|,|3|2|1|,4,0,1,24,153925,4887,1206,1,4,77,T1_4572_tol,8,3,|12|3||,|12|3||,4,0,1,24,114567,5428,636,1,4,76,T2_4572_tol,9,4,|3|1|42|,|24|1|3|,2,0,1,24,91360,7544,834,0,0,77
T0_4572_tol,9,4,|34|12||,|2|14|3|,0,0,1,24,154900,0,0,0,0,77,T1_4572_tol,9,4,|1234|||,|12|34||,0,0,1,24,115098,0,0,0,0,76,T2_4572_tol,9,4,||13|42|,|24|1|3|,3,0,1,24,92037,8221,677,0,0,77
T0_4572_tol,9,4,|3|124||,|2|14|3|,1,0,1,24,161801,6901,6901,0,0,77,T1_4572_tol,9,4,|123||4|,|12|34||,1,0,1,24,117860,2762,2762,0,0,76,T2_4572_tol,9,4,|2|13|4|,|24|1|3|,4,0,1,24,93240,9424,1203,0,0,77
T0_4572_tol,9,4,||124|3|,|2|14|3|,2,0,1,24,162606,7706,805,0,0,77,T1_4572_tol,9,4,|12|3|4|,|12|34||,2,0,1,24,118659,3561,799,0,0,76,T2_4572_tol,9,4,|24|13||,|24|1|3|,5,0,1,24,94120,10304,880,0,0,77
T0_4572_tol,9,4,||12|34|,|2|14|3|,3,0,1,24,164087,9187,1481,0,0,77,T1_4572_tol,9,4,|12|34||,|12|34||,3,0,1,27,119380,4282,721,1,3,86,T2_4572_tol,9,4,|24|1|3|,|24|1|3|,6,0,1,27,94747,10931,627,1,5,86
T0_4572_tol,9,4,|2|1|34|,|2|14|3|,4,0,1,24,165055,10155,968,0,0,77,T1_4572_tol,10,4,|214||3|,|1||423|,0,0,1,27,120825,0,0,0,0,86,T2_4572_tol,10,4,|32|1|4|,|1|3|42|,0,0,1,27,95338,0,0,0,0,86
T0_4572_tol,9,4,|2|14|3|,|2|14|3|,5,0,1,27,165903,11003,848,1,5,87,T1_4572_tol,10,4,|214|3||,|1||423|,1,0,1,27,123571,2746,2746,0,0,86,T2_4572_tol,10,4,|3|1|42|,|1|3|42|,1,0,1,27,98280,2942,2942,0,0,86
T0_4572_tol,10,4,||24|13|,|3|1|24|,0,0,1,27,166804,0,0,0,0,87,T1_4572_tol,10,4,|21|3|4|,|1||423|,2,0,1,27,124493,3668,922,0,0,86,T2_4572_tol,10,4,|3||421|,|1|3|42|,2,0,1,27,99520,4182,1240,0,0,86
T0_4572_tol,10,4,|3|24|1|,|3|1|24|,1,0,1,27,169173,2369,2369,0,0,87,T1_4572_tol,10,4,|21||43|,|1||423|,3,0,1,27,125624,4799,1131,0,0,86,T2_4572_tol,10,4,||3|421|,|1|3|42|,3,0,1,27,100894,5556,1374,0,0,86
T0_4572_tol,10,4,|34|2|1|,|3|1|24|,2,0,1,27,171779,4975,2606,0,0,87,T1_4572_tol,10,4,|2|1|43|,|1||423|,4,0,1,27,126527,5702,903,0,0,86,T2_4572_tol,10,4,|1|3|42|,|1|3|42|,4,0,1,30,101647,6309,753,1,4,96
T0_4572_tol,10,4,|342||1|,|3|1|24|,3,0,1,27,172490,5686,711,0,0,87,T1_4572_tol,10,4,||1|432|,|1||423|,5,0,1,27,127295,6470,768,0,0,86,T2_4572_tol,11,4,|34|2|1|,|2|413||,0,0,1,30,102214,0,0,0,0,96
T0_4572_tol,10,4,|342|1||,|3|1|24|,4,0,1,27,173377,6573,887,0,0,87,T1_4572_tol,10,4,|1||432|,|1||423|,6,0,1,27,127917,7092,622,0,0,86,T2_4572_tol,11,4,|34|2|1|,|2|413||,1,0,1,30,111802,9588,9588,0,0,96
T0_4572_tol,10,4,|34|1|2|,|3|1|24|,5,0,1,27,174443,7639,1066,0,0,87,T1_4572_tol,10,4,|1|2|43|,|1||423|,7,0,1,27,130509,9684,2592,0,0,86,T2_4572_tol,11,4,|34||12|,|2|413||,2,0,1,30,112577,10363,775,0,0,96
T0_4572_tol,10,4,|3|1|24|,|3|1|24|,6,0,1,30,175250,8446,807,1,6,97,T1_4572_tol,10,4,|13|2|4|,|1||423|,8,0,1,27,132061,11236,1552,0,0,86,T2_4572_tol,11,4,|3|4|12|,|2|413||,3,0,1,30,113361,11147,784,0,0,96
T0_4572_tol,11,4,|1|32|4|,|1|2|43|,0,0,1,30,176005,0,0,0,0,97,T1_4572_tol,10,4,|13||42|,|1||423|,9,0,1,27,132710,11885,649,0,0,86,T2_4572_tol,11,4,|3|42|1|,|2|413||,4,0,1,30,117974,15760,4613,0,0,96
T0_4572_tol,11,4,|12|3|4|,|1|2|43|,1,0,1,30,180755,4750,4750,0,0,97,T1_4572_tol,10,4,|1||423|,|1||423|,10,0,1,30,133628,12803,918,1,6,92,T2_4572_tol,11,4,||42|13|,|2|413||,5,0,1,30,118766,16552,792,0,0,96
T0_4572_tol,11,4,|12||43|,|1|2|43|,2,0,1,30,182819,6814,2064,0,0,97,T1_4572_tol,11,4,||324|1|,||341|2|,0,0,1,30,134301,0,0,0,0,92,T2_4572_tol,11,4,|2|4|13|,|2|413||,6,0,1,30,119391,17177,625,0,0,96
