sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T1_4568_Tol,1,3,||32|1|,|3|1|2|,0,0,1,0,38261,0,0,0
T1_4568_Tol,1,3,|1|32||,|3|1|2|,1,0,1,0,47028,8767,8767,0
T1_4568_Tol,1,3,|1|3|2|,|3|1|2|,2,0,1,0,47894,9633,866,0
T1_4568_Tol,1,3,|1||23|,|3|1|2|,3,0,1,0,51723,13462,3829,0
T1_4568_Tol,1,3,||1|23|,|3|1|2|,4,0,1,0,52699,14438,976,0
T1_4568_Tol,1,3,|3|1|2|,|3|1|2|,5,0,1,3,54049,15788,1350,1
T1_4568_Tol,2,3,||2|31|,|12||3|,0,0,1,3,60492,0,0,0
T1_4568_Tol,2,3,|1|2|3|,|12||3|,1,0,1,3,65054,4562,4562,0
T1_4568_Tol,2,3,|12||3|,|12||3|,2,0,1,6,66070,5578,1016,1
T1_4568_Tol,3,3,|||123|,|2|1|3|,0,0,1,6,67890,0,0,0
T1_4568_Tol,3,3,||3|12|,|2|1|3|,1,0,1,6,75539,7649,7649,0
T1_4568_Tol,3,3,|2|3|1|,|2|1|3|,2,0,1,6,77866,9976,2327,0
T1_4568_Tol,3,3,|21|3||,|2|1|3|,3,0,1,6,80150,12260,2284,0
T1_4568_Tol,3,3,|21||3|,|2|1|3|,4,0,1,6,80978,13088,828,0
T1_4568_Tol,3,3,|2|1|3|,|2|1|3|,5,0,1,9,81906,14016,928,1
T1_4568_Tol,4,3,|23|1||,|31|2||,0,0,1,9,82847,0,0,0
T1_4568_Tol,4,3,|23||1|,|31|2||,1,0,1,9,90631,7784,7784,0
T1_4568_Tol,4,3,|2|3|1|,|31|2||,2,0,1,9,91642,8795,1011,0
T1_4568_Tol,4,3,||3|12|,|31|2||,3,0,1,9,92868,10021,1226,0
T1_4568_Tol,4,3,|3||12|,|31|2||,4,0,1,9,93750,10903,882,0
T1_4568_Tol,4,3,|3|2|1|,|31|2||,5,0,1,9,95015,12168,1265,0
T1_4568_Tol,4,3,|31|2||,|31|2||,6,0,1,12,97020,14173,2005,1
T1_4568_Tol,5,3,|3||21|,|2|3|1|,0,0,1,12,97983,0,0,0
T1_4568_Tol,5,3,||3|21|,|2|3|1|,1,0,1,12,103686,5703,5703,0
T1_4568_Tol,5,3,||31|2|,|2|3|1|,2,0,1,12,105536,7553,1850,0
T1_4568_Tol,5,3,|2|31||,|2|3|1|,3,0,1,12,106604,8621,1068,0
T1_4568_Tol,5,3,|2|3|1|,|2|3|1|,4,0,1,15,107536,9553,932,1
T1_4568_Tol,6,3,||2|31|,|3|21||,0,0,1,15,108224,0,0,0
T1_4568_Tol,6,3,||21|3|,|3|21||,1,0,1,15,110091,1867,1867,0
T1_4568_Tol,6,3,|3|21||,|3|21||,2,0,1,18,111026,2802,935,1
T1_4568_Tol,7,3,|1|2|3|,|2||31|,0,0,1,18,112424,0,0,0
T1_4568_Tol,7,3,||2|31|,|2||31|,1,0,1,18,115544,3120,3120,0
T1_4568_Tol,7,3,|2||31|,|2||31|,2,0,1,21,116328,3904,784,1
T1_4568_Tol,8,3,||21|3|,|3|1|2|,0,0,1,21,117642,0,0,0
T1_4568_Tol,8,3,|3|21||,|3|1|2|,1,0,1,21,120362,2720,2720,0
T1_4568_Tol,8,3,|31|2||,|3|1|2|,2,0,1,21,121961,4319,1599,0
T1_4568_Tol,8,3,|31||2|,|3|1|2|,3,0,1,21,122656,5014,695,0
T1_4568_Tol,8,3,|3|1|2|,|3|1|2|,4,0,1,24,123563,5921,907,1
T1_4568_Tol,9,4,|12||43|,|3|2|41|,0,0,1,24,124164,0,0,0
T1_4568_Tol,9,4,|1|2|43|,|3|2|41|,1,0,1,24,127443,3279,3279,0
T1_4568_Tol,9,4,|1|23|4|,|3|2|41|,2,0,1,24,129717,5553,2274,0
T1_4568_Tol,9,4,||23|41|,|3|2|41|,3,0,1,24,130693,6529,976,0
T1_4568_Tol,9,4,|3|2|41|,|3|2|41|,4,0,1,27,131453,7289,760,1
