sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T1_4571_tol,1,3,|2||31|,||1|23|,0,0,1,0,35208,0,0,0
T1_4571_tol,1,3,|2|1|3|,||1|23|,1,0,1,0,46807,11599,11599,0
T1_4571_tol,1,3,|2|13||,||1|23|,2,0,1,0,49423,14215,2616,0
T1_4571_tol,1,3,||13|2|,||1|23|,3,0,1,0,50609,15401,1186,0
T1_4571_tol,1,3,||1|23|,||1|23|,4,0,1,3,51817,16609,1208,1
T1_4571_tol,2,3,||12|3|,|2|31||,0,0,1,3,54802,0,0,0
T1_4571_tol,2,3,|2|1|3|,|2|31||,1,0,1,3,57174,2372,2372,0
T1_4571_tol,2,3,|23|1||,|2|31||,2,0,1,3,59119,4317,1945,0
T1_4571_tol,2,3,|23||1|,|2|31||,3,0,1,3,62559,7757,3440,0
T1_4571_tol,2,3,|2|3|1|,|2|31||,4,0,1,3,63635,8833,1076,0
T1_4571_tol,2,3,|2|31||,|2|31||,5,0,1,6,64540,9738,905,1
T1_4571_tol,3,3,|1|3|2|,|13|2||,0,0,1,6,66281,0,0,0
T1_4571_tol,3,3,|13||2|,|13|2||,1,0,1,6,68819,2538,2538,0
T1_4571_tol,3,3,|13|2||,|13|2||,2,0,1,9,69659,3378,840,1
T1_4571_tol,4,3,|21||3|,|12||3|,0,0,1,9,70767,0,0,0
T1_4571_tol,4,3,|2|1|3|,|12||3|,1,0,1,9,73183,2416,2416,0
T1_4571_tol,4,3,||1|32|,|12||3|,2,0,1,9,75118,4351,1935,0
T1_4571_tol,4,3,|1||32|,|12||3|,3,0,1,9,76068,5301,950,0
T1_4571_tol,4,3,|12||3|,|12||3|,4,0,1,12,77146,6379,1078,1
T1_4571_tol,5,3,|231|||,||1|23|,0,0,1,12,80841,0,0,0
T1_4571_tol,5,3,|23|1||,||1|23|,1,0,1,12,82566,1725,1725,0
T1_4571_tol,5,3,|2|13||,||1|23|,2,0,1,12,83755,2914,1189,0
T1_4571_tol,5,3,||13|2|,||1|23|,3,0,1,12,84601,3760,846,0
T1_4571_tol,5,3,||1|23|,||1|23|,4,0,1,15,85398,4557,797,1
T1_4571_tol,6,3,|21||3|,|13|2||,0,0,1,15,86476,0,0,0
T1_4571_tol,6,3,|2||31|,|13|2||,1,0,1,15,99707,13231,13231,0
T1_4571_tol,6,3,||2|31|,|13|2||,2,0,1,15,100562,14086,855,0
T1_4571_tol,6,3,|1|2|3|,|13|2||,3,0,1,15,101495,15019,933,0
T1_4571_tol,6,3,|13|2||,|13|2||,4,0,1,18,102816,16340,1321,1
T1_4571_tol,7,3,|3|12||,|3||12|,0,0,1,18,104133,0,0,0
T1_4571_tol,7,3,|32|1||,|3||12|,1,0,1,18,106849,2716,2716,0
T1_4571_tol,7,3,|32||1|,|3||12|,2,0,1,18,107667,3534,818,0
T1_4571_tol,7,3,|3||12|,|3||12|,3,0,1,21,108745,4612,1078,1
T1_4571_tol,8,3,||312||,|3|2|1|,0,0,1,21,109920,0,0,0
T1_4571_tol,8,3,|2|31||,|3|2|1|,1,0,1,21,113753,3833,3833,0
T1_4571_tol,8,3,|2|3|1|,|3|2|1|,2,0,1,21,114768,4848,1015,0
T1_4571_tol,8,3,|2||13|,|3|2|1|,3,0,1,21,115741,5821,973,0
T1_4571_tol,8,3,||2|13|,|3|2|1|,4,0,1,21,116494,6574,753,0
T1_4571_tol,8,3,|3|2|1|,|3|2|1|,5,0,1,24,117283,7363,789,1
T1_4571_tol,9,4,|3|41|2|,|21|4|3|,0,0,1,24,117951,0,0,0
T1_4571_tol,9,4,|3|412||,|21|4|3|,1,0,1,24,124186,6235,6235,0
T1_4571_tol,9,4,||412|3|,|21|4|3|,2,0,1,24,124956,7005,770,0
T1_4571_tol,9,4,|2|41|3|,|21|4|3|,3,0,1,24,125943,7992,987,0
T1_4571_tol,9,4,|21|4|3|,|21|4|3|,4,0,1,27,126715,8764,772,1
T1_4571_tol,10,4,|42|13||,|43|2|1|,0,0,1,27,127476,0,0,0
T1_4571_tol,10,4,|423|1||,|43|2|1|,1,0,1,27,130751,3275,3275,0
T1_4571_tol,10,4,|423||1|,|43|2|1|,2,0,1,27,131554,4078,803,0
T1_4571_tol,10,4,|42||13|,|43|2|1|,3,0,1,27,133051,5575,1497,0
T1_4571_tol,10,4,|4|2|13|,|43|2|1|,4,0,1,27,134538,7062,1487,0
T1_4571_tol,10,4,|43|2|1|,|43|2|1|,5,0,1,30,135420,7944,882,1
T1_4571_tol,11,4,|2|31|4|,|3|41|2|,0,0,1,30,136162,0,0,0
T1_4571_tol,11,4,||31|42|,|3|41|2|,1,0,1,30,143975,7813,7813,0
T1_4571_tol,11,4,||3|421|,|3|41|2|,2,0,1,30,144726,8564,751,0
T1_4571_tol,11,4,|3||421|,|3|41|2|,3,0,1,30,145460,9298,734,0
T1_4571_tol,11,4,|31||42|,|3|41|2|,4,0,1,30,147112,10950,1652,0
T1_4571_tol,11,4,|312||4|,|3|41|2|,5,0,1,30,148772,12610,1660,0
T1_4571_tol,11,4,|312|4||,|3|41|2|,6,0,1,30,149614,13452,842,0
T1_4571_tol,11,4,|31|4|2|,|3|41|2|,7,0,1,30,150698,14536,1084,0
T1_4571_tol,11,4,|3|41|2|,|3|41|2|,8,0,1,33,151580,15418,882,1
T1_4571_tol,12,4,||41|23|,|3|2|14|,0,0,1,33,152152,0,0,0
T1_4571_tol,12,4,|3|41|2|,|3|2|14|,1,0,1,33,154099,1947,1947,0
T1_4571_tol,12,4,|31|4|2|,|3|2|14|,2,0,1,33,156219,4067,2120,0
T1_4571_tol,12,4,|314||2|,|3|2|14|,3,0,1,33,157926,5774,1707,0
T1_4571_tol,12,4,|314|2||,|3|2|14|,4,0,1,33,158757,6605,831,0
T1_4571_tol,12,4,|31|24||,|3|2|14|,5,0,1,33,160182,8030,1425,0
T1_4571_tol,12,4,|3|24|1|,|3|2|14|,6,0,1,33,161009,8857,827,0
T1_4571_tol,12,4,|3|2|14|,|3|2|14|,7,0,1,36,161732,9580,723,1
T1_4571_tol,13,4,|21|4|3|,||41|23|,0,0,1,36,162259,0,0,0
T1_4571_tol,13,4,|2|41|3|,||41|23|,1,0,1,36,165314,3055,3055,0
T1_4571_tol,13,4,|2|413||,||41|23|,2,0,1,36,166759,4500,1445,0
T1_4571_tol,13,4,||413|2|,||41|23|,3,0,1,36,167748,5489,989,0
T1_4571_tol,13,4,||41|23|,||41|23|,4,0,1,39,168603,6344,855,1
T1_4571_tol,14,4,|32|4|1|,|23||14|,0,0,1,39,169328,0,0,0
T1_4571_tol,14,4,|32||14|,|23||14|,1,0,1,39,171913,2585,2585,0
T1_4571_tol,14,4,|3||142|,|23||14|,2,0,1,39,175383,6055,3470,0
T1_4571_tol,14,4,||3|142|,|23||14|,3,0,1,39,178424,9096,3041,0
T1_4571_tol,14,4,|2|3|14|,|23||14|,4,0,1,39,179392,10064,968,0
T1_4571_tol,14,4,|23||14|,|23||14|,5,0,1,42,180114,10786,722,1
T1_4571_tol,15,4,|2|3|14|,|21|34||,0,0,1,42,180645,0,0,0
T1_4571_tol,15,4,|2|34|1|,|21|34||,1,0,1,42,183380,2735,2735,0
T1_4571_tol,15,4,|21|34||,|21|34||,2,0,1,45,184222,3577,842,1
T1_4571_tol,16,4,|4|2|13|,|2|14|3|,0,0,1,45,184672,0,0,0
T1_4571_tol,16,4,|42||13|,|2|14|3|,1,0,1,45,199398,14726,14726,0
T1_4571_tol,16,4,|423||1|,|2|14|3|,2,0,1,45,200267,15595,869,0
T1_4571_tol,16,4,|423|1||,|2|14|3|,3,0,1,45,201193,16521,926,0
T1_4571_tol,16,4,|42|1|3|,|2|14|3|,4,0,1,45,202160,17488,967,0
T1_4571_tol,16,4,|4|1|32|,|2|14|3|,5,0,1,45,204214,19542,2054,0
T1_4571_tol,16,4,||14|32|,|2|14|3|,6,0,1,45,205119,20447,905,0
T1_4571_tol,16,4,|2|14|3|,|2|14|3|,7,0,1,48,205846,21174,727,1
T1_4571_tol,17,5,|421||35|,|241|5|3|,0,0,1,48,206340,0,0,0
T1_4571_tol,17,5,|421|5|3|,|241|5|3|,1,0,1,48,207983,1643,1643,0
T1_4571_tol,17,5,|42|5|31|,|241|5|3|,2,0,1,48,210541,4201,2558,0
T1_4571_tol,17,5,|4|52|31|,|241|5|3|,3,0,1,48,214899,8559,4358,0
T1_4571_tol,17,5,||52|314|,|241|5|3|,4,0,1,48,216469,10129,1570,0
T1_4571_tol,17,5,|2|5|314|,|241|5|3|,5,0,1,48,217268,10928,799,0
T1_4571_tol,17,5,|24|5|31|,|241|5|3|,6,0,1,48,218417,12077,1149,0
T1_4571_tol,17,5,|241|5|3|,|241|5|3|,7,0,1,51,219349,13009,932,1
T1_4571_tol,18,5,|52314|||,||42|531|,0,0,1,51,219859,0,0,0
T1_4571_tol,18,5,|5231|4||,||42|531|,1,0,1,51,222184,2325,2325,0
T1_4571_tol,18,5,|523|41||,||42|531|,2,0,1,51,225496,5637,3312,0
T1_4571_tol,18,5,|52|413||,||42|531|,3,0,1,51,226706,6847,1210,0
T1_4571_tol,18,5,|5|4132||,||42|531|,4,0,1,51,229468,9609,2762,0
T1_4571_tol,18,5,||4132|5|,||42|531|,5,0,1,51,230697,10838,1229,0
T1_4571_tol,18,5,|2|413|5|,||42|531|,6,0,1,51,234182,14323,3485,0
T1_4571_tol,18,5,|2|41|53|,||42|531|,7,0,1,51,235264,15405,1082,0
T1_4571_tol,18,5,|2|4|531|,||42|531|,8,0,1,51,236021,16162,757,0
T1_4571_tol,18,5,||42|531|,||42|531|,9,0,1,54,236832,16973,811,1
