Identificador único do participante,Total de Movimentos (T0),Tempo Total (ms) (T0),Movimentos por Trial (T0),Tempo Médio por Trial (T0),Tempo por Movimento (T0),Trials Completos (T0),Nº de Tentativas (T0),Movimentos Totais (T0),Movimentos Mínimos (T0),Eficiência (T0),Total de Movimentos (T1),Tempo Total (ms) (T1),Movimentos por Trial (T1),Tempo Médio por Trial (T1),Tempo por Movimento (T1),Trials Completos (T1),Nº de Tentativas (T1),Movimentos Totais (T1),Movimentos Mínimos (T1),Eficiência (T1),Total de Movimentos (T2),Tempo Total (ms) (T2),Movimentos por Trial (T2),Tempo Médio por Trial (T2),Tempo por Movimento (T2),Trials Completos (T2),Nº de Tentativas (T2),Movimentos Totais (T2),Movimentos Mínimos (T2),Eficiência (T2)
id,Total_Movimentos_T0,Tempo_Total_ms_T0,Movimentos_por_Trial_T0,Tempo_Médio_por_Trial_T0,Tempo_por_Movimento_T0,Trials_Completos_T0,Número_de_Tentativas_T0,Movimentos_totais_T0,Movimentos_minimos_T0,Movimentos_eficiencia_T0,Total_Movimentos_T1,Tempo_Total_ms_T1,Movimentos_por_Trial_T1,Tempo_Médio_por_Trial_T1,Tempo_por_Movimento_T1,Trials_Completos_T1,Número_de_Tentativas_T1,Movimentos_totais_T1,Movimentos_minimos_T1,Movimentos_eficiencia_T1,Total_Movimentos_T2,Tempo_Total_ms_T2,Movimentos_por_Trial_T2,Tempo_Médio_por_Trial_T2,Tempo_por_Movimento_T2,Trials_Completos_T2,Número_de_Tentativas_T2,Movimentos_totais_T2,Movimentos_minimos_T2,Movimentos_eficiencia_T2
4567,160,523871,6.67,21827.96,3274.19,24,0,160,137,0.86,158,376502.0,6.58,15687.58,2382.92,24,0,158,135.0,0.85,125,301094.0,5.21,12545.58,2408.75,24,0,125,117.0,0.94
4568,155,346264,6.46,14427.67,2233.96,24,0,155,116,0.75,152,280899.0,6.33,11704.12,1848.02,24,0,152,127.0,0.84,147,224875.0,6.12,9369.79,1529.76,24,0,147,128.0,0.87
4569,166,418510,6.92,17437.92,2521.14,24,0,166,133,0.8,154,314208.0,6.42,13092.0,2040.31,24,0,154,128.0,0.83,139,296186.0,5.79,12341.08,2130.83,24,0,139,123.0,0.88
4570,165,275710,6.88,11487.92,1670.97,24,0,165,134,0.81,167,253788.0,7.59,11535.82,1519.69,22,0,167,132.0,0.79,167,191001.0,7.95,9095.29,1143.72,21,0,167,115.0,0.69
4571,148,357178,6.17,14882.42,2413.36,24,0,148,131,0.89,148,314749.0,6.43,13684.74,2126.68,23,0,148,127.0,0.86,143,303548.0,5.96,12647.83,2122.71,24,0,143,127.0,0.89
4572,159,291128,6.62,12130.33,1830.99,24,0,159,140,0.88,152,247765.0,6.33,10323.54,1630.03,24,0,152,133.0,0.88,140,221059.0,5.83,9210.79,1578.99,24,0,140,130.0,0.93
4574,139,218931,5.79,9122.12,1575.04,24,0,139,122,0.88,139,213586.0,6.04,9286.35,1536.59,23,0,139,122.0,0.88,139,245348.0,6.04,10667.3,1765.09,23,0,139,125.0,0.9
4576,173,573741,7.21,23905.88,3316.42,24,0,173,133,0.77,158,393154.0,6.58,16381.42,2488.32,24,0,158,125.0,0.79,139,352125.0,5.79,14671.88,2533.27,24,0,139,129.0,0.93
4577,173,705265,7.21,29386.04,4076.68,24,0,173,131,0.76,156,449525.0,6.5,18730.21,2881.57,24,0,156,140.0,0.9,150,483827.0,6.25,20159.46,3225.51,24,0,150,129.0,0.86
4578,162,350514,6.75,14604.75,2163.67,24,0,162,126,0.78,144,307478.0,6.0,12811.58,2135.26,24,0,144,131.0,0.91,136,309570.0,5.67,12898.75,2276.25,24,0,136,120.0,0.88
4579,199,514439,8.29,21434.96,2585.12,24,0,199,138,0.69,186,383110.0,7.75,15962.92,2059.73,24,0,186,139.0,0.75,164,316427.0,6.83,13184.46,1929.43,24,0,164,118.0,0.72
4581,192,323207,8.0,13466.96,1683.37,24,0,192,141,0.73,175,293025.0,7.29,12209.38,1674.43,24,0,175,134.0,0.77,163,248564.0,6.79,10356.83,1524.93,24,0,163,135.0,0.83
4585,170,592632,7.08,24693.0,3486.07,24,0,170,127,0.75,143,363413.0,5.96,15142.21,2541.35,24,0,143,129.0,0.9,152,340772.0,6.33,14198.83,2241.92,24,0,152,126.0,0.83
4588,177,433247,7.38,18051.96,2447.72,24,0,177,119,0.67,173,374791.0,7.21,15616.29,2166.42,24,0,173,144.0,0.83,163,303835.0,6.79,12659.79,1864.02,24,0,163,135.0,0.83
