ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum
sub,trial,size,T0_current,T0_end,T0_step,T0_reset,T0_tries,T0_score,T0_abstime,T0_trialtime,T0_clicktime,T0_done,T0_movimentos_minimos,T0_pontuacao_acumulada,sub_test1,trial_test1,size_test1,T1_current,T1_end,T1_step,T1_reset,T1_tries,T1_score,T1_abstime,T1_trialtime,T1_clicktime,T1_done,T1_movimentos_minimos,T1_pontuacao_acumulada,sub_test2,trial_test2,size_test2,T2_current,T2_end,T2_step,T2_reset,T2_tries,T2_score,T2_abstime,T2_trialtime,T2_clicktime,T2_done,T2_movimentos_minimos,T2_pontuacao_acumulada
T0_4567_Tol,1,3,|3|1|2|,||21|3|,0,0,1,0,14186,0,0,0,0,0,T1_4567_Tol,1,3,|13|2||,|321|||,0,0,1,0,14610,0,0,0,0,0,T2_4567_Tol,1,3,|3|2|1|,||13|2|,0,0,1,0,14376,0,0,0,0,0
T0_4567_Tol,1,3,|3|12||,||21|3|,1,0,1,0,30893,16707,16707,0,0,0,T1_4567_Tol,1,3,|1|2|3|,|321|||,1,0,1,0,21343,6733,6733,0,0,0,T2_4567_Tol,1,3,||2|13|,||13|2|,1,0,1,0,27101,12725,12725,0,0,0
T0_4567_Tol,1,3,||12|3|,||21|3|,2,0,1,0,34440,20254,3547,0,0,0,T1_4567_Tol,1,3,|12||3|,|321|||,2,0,1,0,23534,8924,2191,0,0,0,T2_4567_Tol,1,3,|2||13|,||13|2|,2,0,1,0,29254,14878,2153,0,0,0
T0_4567_Tol,1,3,|2|1|3|,||21|3|,3,0,1,0,43395,29209,8955,0,0,0,T1_4567_Tol,1,3,|1||32|,|321|||,3,0,1,0,27192,12582,3658,0,0,0,T2_4567_Tol,1,3,|23||1|,||13|2|,3,0,1,0,32046,17670,2792,0,0,0
T0_4567_Tol,1,3,|2||31|,||21|3|,4,0,1,0,48165,33979,4770,0,0,0,T1_4567_Tol,1,3,|||321|,|321|||,4,0,1,0,29017,14407,1825,0,0,0,T2_4567_Tol,1,3,|23|1||,||13|2|,4,0,1,0,33283,18907,1237,0,0,0
T0_4567_Tol,1,3,||2|31|,||21|3|,5,0,1,0,50676,36490,2511,0,0,0,T1_4567_Tol,1,3,||1|32|,|321|||,5,0,1,0,39132,24522,10115,0,0,0,T2_4567_Tol,1,3,|2|13||,||13|2|,5,0,1,0,34556,20180,1273,0,0,0
T0_4567_Tol,1,3,||21|3|,||21|3|,6,0,1,3,53279,39093,2603,1,4,8,T1_4567_Tol,1,3,||12|3|,|321|||,6,0,1,0,40705,26095,1573,0,0,0,T2_4567_Tol,1,3,||13|2|,||13|2|,6,0,1,3,35997,21621,1441,1,4,8
T0_4567_Tol,2,3,|23|1||,||3|21|,0,0,1,3,65252,0,0,0,0,8,T1_4567_Tol,1,3,|3|12||,|321|||,7,0,1,0,42105,27495,1400,0,0,0,T2_4567_Tol,2,3,|3|1|2|,|3|2|1|,0,0,1,3,38347,0,0,0,0,8
T0_4567_Tol,2,3,|2|13||,||3|21|,1,0,1,3,75374,10122,10122,0,0,8,T1_4567_Tol,1,3,|32|1||,|321|||,8,0,1,0,43479,28869,1374,0,0,0,T2_4567_Tol,2,3,|32|1||,|3|2|1|,1,0,1,3,43291,4944,4944,0,0,8
T0_4567_Tol,2,3,||13|2|,||3|21|,2,0,1,3,78524,13272,3150,0,0,8,T1_4567_Tol,1,3,|321|||,|321|||,9,0,1,3,44591,29981,1112,1,5,6,T2_4567_Tol,2,3,|32||1|,|3|2|1|,2,0,1,3,44636,6289,1345,0,0,8
T0_4567_Tol,2,3,|3|1|2|,||3|21|,3,0,1,3,83658,18406,5134,0,0,8,T1_4567_Tol,2,3,|12|3||,|3|1|2|,0,0,1,3,46525,0,0,0,0,6,T2_4567_Tol,2,3,|3|2|1|,|3|2|1|,3,0,1,6,45785,7438,1149,1,3,18
T0_4567_Tol,2,3,|3||21|,||3|21|,4,0,1,3,85727,20475,2069,0,0,8,T1_4567_Tol,2,3,|1|3|2|,|3|1|2|,1,0,1,3,50673,4148,4148,0,0,6,T2_4567_Tol,3,3,|13|2||,|21||3|,0,0,1,6,46883,0,0,0,0,18
T0_4567_Tol,2,3,||3|21|,||3|21|,5,0,1,6,91148,25896,5421,1,5,18,T1_4567_Tol,2,3,|1||23|,|3|1|2|,2,0,1,3,52494,5969,1821,0,0,6,T2_4567_Tol,3,3,|1|2|3|,|21||3|,1,0,1,6,49702,2819,2819,0,0,18
T0_4567_Tol,3,3,||31|2|,||13|2|,0,0,1,6,94662,0,0,0,0,18,T1_4567_Tol,2,3,||1|23|,|3|1|2|,3,0,1,3,53526,7001,1032,0,0,6,T2_4567_Tol,3,3,||2|31|,|21||3|,2,0,1,6,51690,4807,1988,0,0,18
T0_4567_Tol,3,3,|1|3|2|,||13|2|,1,0,1,6,110614,15952,15952,0,0,18,T1_4567_Tol,2,3,|3|1|2|,|3|1|2|,4,0,1,6,54661,8136,1135,1,4,16,T2_4567_Tol,3,3,|2||31|,|21||3|,3,0,1,6,52715,5832,1025,0,0,18
T0_4567_Tol,3,3,|1||23|,||13|2|,2,0,1,6,114356,19694,3742,0,0,18,T1_4567_Tol,3,3,||3|12|,|3|1|2|,0,0,1,6,57058,0,0,0,0,16,T2_4567_Tol,3,3,|21||3|,|21||3|,4,0,1,9,53948,7065,1233,1,4,28
T0_4567_Tol,3,3,||1|23|,||13|2|,3,0,1,6,117846,23184,3490,0,0,18,T1_4567_Tol,3,3,|3||12|,|3|1|2|,1,0,1,6,61245,4187,4187,0,0,16,T2_4567_Tol,4,3,|12||3|,|2||13|,0,0,1,9,55104,0,0,0,0,28
T0_4567_Tol,3,3,||13|2|,||13|2|,4,0,1,9,120341,25679,2495,1,4,28,T1_4567_Tol,3,3,|32||1|,|3|1|2|,2,0,1,6,62971,5913,1726,0,0,16,T2_4567_Tol,4,3,|1|2|3|,|2||13|,1,0,1,9,61538,6434,6434,0,0,28
T0_4567_Tol,4,3,|3|12||,|1|23||,0,0,1,9,122758,0,0,0,0,28,T1_4567_Tol,3,3,|32|1||,|3|1|2|,3,0,1,6,64139,7081,1168,0,0,16,T2_4567_Tol,4,3,|1|23||,|2||13|,2,0,1,9,64163,9059,2625,0,0,28
T0_4567_Tol,4,3,||12|3|,|1|23||,1,0,1,9,130856,8098,8098,0,0,28,T1_4567_Tol,3,3,|3|1|2|,|3|1|2|,4,0,1,9,65282,8224,1143,1,4,26,T2_4567_Tol,4,3,||23|1|,|2||13|,3,0,1,9,65423,10319,1260,0,0,28
T0_4567_Tol,4,3,|2|1|3|,|1|23||,2,0,1,9,137644,14886,6788,0,0,28,T1_4567_Tol,4,3,|3||21|,|1|32||,0,0,1,9,66057,0,0,0,0,26,T2_4567_Tol,4,3,||2|13|,|2||13|,4,0,1,9,66923,11819,1500,0,0,28
T0_4567_Tol,4,3,|23|1||,|1|23||,3,0,1,9,142475,19717,4831,0,0,28,T1_4567_Tol,4,3,||3|21|,|1|32||,1,0,1,9,68795,2738,2738,0,0,26,T2_4567_Tol,4,3,|2||13|,|2||13|,5,0,1,12,68617,13513,1694,1,5,38
T0_4567_Tol,4,3,|23||1|,|1|23||,4,0,1,9,147826,25068,5351,0,0,28,T1_4567_Tol,4,3,|1|3|2|,|1|32||,2,0,1,9,69855,3798,1060,0,0,26,T2_4567_Tol,5,3,||31|2|,|2|3|1|,0,0,1,12,69320,0,0,0,0,38
T0_4567_Tol,4,3,|2||13|,|1|23||,5,0,1,9,156468,33710,8642,0,0,28,T1_4567_Tol,4,3,|1|32||,|1|32||,3,0,1,12,71303,5246,1448,1,3,36,T2_4567_Tol,5,3,|2|31||,|2|3|1|,1,0,1,12,71617,2297,2297,0,0,38
