ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum,ID do teste,Nº trial,Tamanho,Estado atual,Estado final,Passos,Reinício,Tentativas,Pontuação,Abs(ms),Trial(ms),Click(ms),Sucesso,MinMov,Acum
sub,trial,size,T0_current,T0_end,T0_step,T0_reset,T0_tries,T0_score,T0_abstime,T0_trialtime,T0_clicktime,T0_done,T0_movimentos_minimos,T0_pontuacao_acumulada,sub_test1,trial_test1,size_test1,T1_current,T1_end,T1_step,T1_reset,T1_tries,T1_score,T1_abstime,T1_trialtime,T1_clicktime,T1_done,T1_movimentos_minimos,T1_pontuacao_acumulada
T0_4586_tol,1,3,|3|12||,|21|3||,0,0,1,0,50595,0,0,0,0,0,T1_4586_tol,1,3,|23|1||,||23|1|,0,0,1,0,20743,0,0,0,0,0
T0_4586_tol,1,3,|32|1||,|21|3||,1,0,1,0,64518,13923,13923,0,0,0,T1_4586_tol,1,3,|23||1|,||23|1|,1,0,1,0,34598,13855,13855,0,0,0
T0_4586_tol,1,3,|3|12||,|21|3||,2,0,1,0,83519,32924,19001,0,0,0,T1_4586_tol,1,3,|2||13|,||23|1|,2,0,1,0,46497,25754,11899,0,0,0
T0_4586_tol,1,3,|3|12||,|21|3||,3,0,1,0,85956,35361,2437,0,0,0,T1_4586_tol,1,3,||2|13|,||23|1|,3,0,1,0,48248,27505,1751,0,0,0
T0_4586_tol,1,3,|32|1||,|21|3||,4,0,1,0,93804,43209,7848,0,0,0,T1_4586_tol,1,3,||23|1|,||23|1|,4,0,1,3,50747,30004,2499,1,4,10
T0_4586_tol,1,3,|321|||,|21|3||,5,0,1,0,98544,47949,4740,0,0,0,T1_4586_tol,2,3,|1||23|,|3|12||,0,0,1,3,54955,0,0,0,0,10
T0_4586_tol,1,3,|32|1||,|21|3||,6,0,1,0,101351,50756,2807,0,0,0,T1_4586_tol,2,3,||1|23|,|3|12||,1,0,1,3,59277,4322,4322,0,0,10
T0_4586_tol,1,3,|32|1||,|21|3||,7,0,1,0,120880,70285,19529,0,0,0,T1_4586_tol,2,3,|3|1|2|,|3|12||,2,0,1,3,62866,7911,3589,0,0,10
T0_4586_tol,1,3,|3|1|2|,|21|3||,8,0,1,0,127263,76668,6383,0,0,0,T1_4586_tol,2,3,|3|12||,|3|12||,3,0,1,6,65254,10299,2388,1,3,20
T0_4586_tol,1,3,||13|2|,|21|3||,9,0,1,0,131290,80695,4027,0,0,0,T1_4586_tol,3,3,|3|1|2|,|2|3|1|,0,0,1,6,66196,0,0,0,0,20
T0_4586_tol,1,3,|2|13||,|21|3||,10,0,1,0,133140,82545,1850,0,0,0,T1_4586_tol,3,3,||13|2|,|2|3|1|,1,0,1,6,72569,6373,6373,0,0,20
T0_4586_tol,1,3,|2|1|3|,|21|3||,11,0,1,0,136355,85760,3215,0,0,0,T1_4586_tol,3,3,|2|13||,|2|3|1|,2,0,1,6,74327,8131,1758,0,0,20
T0_4586_tol,1,3,|21||3|,|21|3||,12,0,1,0,138241,87646,1886,0,0,0,T1_4586_tol,3,3,|23|1||,|2|3|1|,3,0,1,6,76415,10219,2088,0,0,20
T0_4586_tol,1,3,|21|3||,|21|3||,13,0,1,3,139844,89249,1603,1,4,1,T1_4586_tol,3,3,|23||1|,|2|3|1|,4,0,1,6,77447,11251,1032,0,0,20
T0_4586_tol,2,3,||13|2|,|12|3||,0,0,1,3,145397,0,0,0,0,1,T1_4586_tol,3,3,|2|3|1|,|2|3|1|,5,0,1,9,78431,12235,984,1,5,30
T0_4586_tol,2,3,||1|23|,|12|3||,1,0,1,3,154177,8780,8780,0,0,1,T1_4586_tol,4,3,|||312|,||1|32|,0,0,1,9,79277,0,0,0,0,30
T0_4586_tol,2,3,|1||23|,|12|3||,2,0,1,3,155621,10224,1444,0,0,1,T1_4586_tol,4,3,|2||31|,||1|32|,1,0,1,9,83513,4236,4236,0,0,30
