sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T1_4567_Tol,1,3,|13|2||,|321|||,0,0,1,0,14610,0,0,0
T1_4567_Tol,1,3,|1|2|3|,|321|||,1,0,1,0,21343,6733,6733,0
T1_4567_Tol,1,3,|12||3|,|321|||,2,0,1,0,23534,8924,2191,0
T1_4567_Tol,1,3,|1||32|,|321|||,3,0,1,0,27192,12582,3658,0
T1_4567_Tol,1,3,|||321|,|321|||,4,0,1,0,29017,14407,1825,0
T1_4567_Tol,1,3,||1|32|,|321|||,5,0,1,0,39132,24522,10115,0
T1_4567_Tol,1,3,||12|3|,|321|||,6,0,1,0,40705,26095,1573,0
T1_4567_Tol,1,3,|3|12||,|321|||,7,0,1,0,42105,27495,1400,0
T1_4567_Tol,1,3,|32|1||,|321|||,8,0,1,0,43479,28869,1374,0
T1_4567_Tol,1,3,|321|||,|321|||,9,0,1,3,44591,29981,1112,1
T1_4567_Tol,2,3,|12|3||,|3|1|2|,0,0,1,3,46525,0,0,0
T1_4567_Tol,2,3,|1|3|2|,|3|1|2|,1,0,1,3,50673,4148,4148,0
T1_4567_Tol,2,3,|1||23|,|3|1|2|,2,0,1,3,52494,5969,1821,0
T1_4567_Tol,2,3,||1|23|,|3|1|2|,3,0,1,3,53526,7001,1032,0
T1_4567_Tol,2,3,|3|1|2|,|3|1|2|,4,0,1,6,54661,8136,1135,1
T1_4567_Tol,3,3,||3|12|,|3|1|2|,0,0,1,6,57058,0,0,0
T1_4567_Tol,3,3,|3||12|,|3|1|2|,1,0,1,6,61245,4187,4187,0
T1_4567_Tol,3,3,|32||1|,|3|1|2|,2,0,1,6,62971,5913,1726,0
T1_4567_Tol,3,3,|32|1||,|3|1|2|,3,0,1,6,64139,7081,1168,0
T1_4567_Tol,3,3,|3|1|2|,|3|1|2|,4,0,1,9,65282,8224,1143,1
T1_4567_Tol,4,3,|3||21|,|1|32||,0,0,1,9,66057,0,0,0
T1_4567_Tol,4,3,||3|21|,|1|32||,1,0,1,9,68795,2738,2738,0
T1_4567_Tol,4,3,|1|3|2|,|1|32||,2,0,1,9,69855,3798,1060,0
T1_4567_Tol,4,3,|1|32||,|1|32||,3,0,1,12,71303,5246,1448,1
T1_4567_Tol,5,3,|||231|,|3||21|,0,0,1,12,72323,0,0,0
T1_4567_Tol,5,3,||1|23|,|3||21|,1,0,1,12,79041,6718,6718,0
T1_4567_Tol,5,3,|3|1|2|,|3||21|,2,0,1,12,80126,7803,1085,0
T1_4567_Tol,5,3,|3||21|,|3||21|,3,0,1,15,81851,9528,1725,1
T1_4567_Tol,6,3,||123||,||132||,0,0,1,15,83419,0,0,0
T1_4567_Tol,6,3,||12|3|,||132||,1,0,1,15,91587,8168,8168,0
T1_4567_Tol,6,3,|2|1|3|,||132||,2,0,1,15,92680,9261,1093,0
T1_4567_Tol,6,3,|2|13||,||132||,3,0,1,15,93911,10492,1231,0
T1_4567_Tol,6,3,||132||,||132||,4,0,1,18,94799,11380,888,1
T1_4567_Tol,7,3,||32|1|,|23||1|,0,0,1,18,95713,0,0,0
T1_4567_Tol,7,3,||3|12|,|23||1|,1,0,1,18,99695,3982,3982,0
T1_4567_Tol,7,3,|3||12|,|23||1|,2,0,1,18,100522,4809,827,0
T1_4567_Tol,7,3,||3|12|,|23||1|,3,0,1,18,102203,6490,1681,0
T1_4567_Tol,7,3,|2|3|1|,|23||1|,4,0,1,18,103085,7372,882,0
T1_4567_Tol,7,3,|23||1|,|23||1|,5,0,1,21,104071,8358,986,1
T1_4567_Tol,8,3,|1|2|3|,|1||23|,0,0,1,21,104874,0,0,0
T1_4567_Tol,8,3,|13|2||,|1||23|,1,0,1,21,110897,6023,6023,0
T1_4567_Tol,8,3,|13||2|,|1||23|,2,0,1,21,111793,6919,896,0
T1_4567_Tol,8,3,|1||23|,|1||23|,3,0,1,24,112813,7939,1020,1
T1_4567_Tol,9,4,|31|24||,|4|32|1|,0,0,1,24,113984,0,0,0
T1_4567_Tol,9,4,|3|24|1|,|4|32|1|,1,0,1,24,117133,3149,3149,0
T1_4567_Tol,9,4,||24|13|,|4|32|1|,2,0,1,24,119943,5959,2810,0
T1_4567_Tol,9,4,|4|2|13|,|4|32|1|,3,0,1,24,120942,6958,999,0
T1_4567_Tol,9,4,|42||13|,|4|32|1|,4,0,1,24,122946,8962,2004,0
T1_4567_Tol,9,4,|42|3|1|,|4|32|1|,5,0,1,24,123768,9784,822,0
T1_4567_Tol,9,4,|4|32|1|,|4|32|1|,6,0,1,27,125440,11456,1672,1
T1_4567_Tol,10,4,|23|41||,|41|3|2|,0,0,1,27,126376,0,0,0
T1_4567_Tol,10,4,|23|4|1|,|41|3|2|,1,0,1,27,137717,11341,11341,0
T1_4567_Tol,10,4,|23||14|,|41|3|2|,2,0,1,27,138634,12258,917,0
T1_4567_Tol,10,4,|2||143|,|41|3|2|,3,0,1,27,141773,15397,3139,0
T1_4567_Tol,10,4,||2|143|,|41|3|2|,4,0,1,27,143912,17536,2139,0
T1_4567_Tol,10,4,||23|14|,|41|3|2|,5,0,1,27,146075,19699,2163,0
T1_4567_Tol,10,4,|4|23|1|,|41|3|2|,6,0,1,27,147520,21144,1445,0
T1_4567_Tol,10,4,|41|23||,|41|3|2|,7,0,1,27,148597,22221,1077,0
T1_4567_Tol,10,4,|413|2||,|41|3|2|,8,0,1,27,151060,24684,2463,0
T1_4567_Tol,10,4,|413||2|,|41|3|2|,9,0,1,27,152124,25748,1064,0
T1_4567_Tol,10,4,|41|3|2|,|41|3|2|,10,0,1,30,153271,26895,1147,1
T1_4567_Tol,11,4,|1|2|43|,|3|1|42|,0,0,1,30,154002,0,0,0
T1_4567_Tol,11,4,||21|43|,|3|1|42|,1,0,1,30,162121,8119,8119,0
T1_4567_Tol,11,4,|3|21|4|,|3|1|42|,2,0,1,30,163151,9149,1030,0
T1_4567_Tol,11,4,|3|2|41|,|3|1|42|,3,0,1,30,165665,11663,2514,0
T1_4567_Tol,11,4,|32||41|,|3|1|42|,4,0,1,30,166527,12525,862,0
T1_4567_Tol,11,4,|32|1|4|,|3|1|42|,5,0,1,30,167435,13433,908,0
T1_4567_Tol,11,4,|3|1|42|,|3|1|42|,6,0,1,33,169019,15017,1584,1
T1_4567_Tol,12,4,|1|42|3|,|2||431|,0,0,1,33,169709,0,0,0
T1_4567_Tol,12,4,||42|31|,|2||431|,1,0,1,33,173974,4265,4265,0
T1_4567_Tol,12,4,|2|4|31|,|2||431|,2,0,1,33,174874,5165,900,0
T1_4567_Tol,12,4,|21|4|3|,|2||431|,3,0,1,33,178776,9067,3902,0
T1_4567_Tol,12,4,|213|4||,|2||431|,4,0,1,33,180543,10834,1767,0
T1_4567_Tol,12,4,|213||4|,|2||431|,5,0,1,33,181514,11805,971,0
T1_4567_Tol,12,4,|21||43|,|2||431|,6,0,1,33,182927,13218,1413,0
T1_4567_Tol,12,4,|2||431|,|2||431|,7,0,1,36,184120,14411,1193,1
T1_4567_Tol,13,4,|3|42|1|,|132|4||,0,0,1,36,184762,0,0,0
T1_4567_Tol,13,4,||42|13|,|132|4||,1,0,1,36,191321,6559,6559,0
