sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done
T1_4585_tol,1,3,|1||23|,|3|2|1|,0,0,1,0,11835,0,0,0
T1_4585_tol,1,3,|||231|,|3|2|1|,1,0,1,0,19521,7686,7686,0
T1_4585_tol,1,3,||1|23|,|3|2|1|,2,0,1,0,23749,11914,4228,0
T1_4585_tol,1,3,|3|1|2|,|3|2|1|,3,0,1,0,26830,14995,3081,0
T1_4585_tol,1,3,|32|1||,|3|2|1|,4,0,1,0,33757,21922,6927,0
T1_4585_tol,1,3,|32||1|,|3|2|1|,5,0,1,0,36601,24766,2844,0
T1_4585_tol,1,3,|3|2|1|,|3|2|1|,6,0,1,3,38372,26537,1771,1
T1_4585_tol,2,3,|123|||,|231|||,0,0,1,3,41607,0,0,0
T1_4585_tol,2,3,|12|3||,|231|||,1,0,1,3,50952,9345,9345,0
T1_4585_tol,2,3,|1|3|2|,|231|||,2,0,1,3,54068,12461,3116,0
T1_4585_tol,2,3,||31|2|,|231|||,3,0,1,3,57106,15499,3038,0
T1_4585_tol,2,3,|2|31||,|231|||,4,0,1,3,59545,17938,2439,0
T1_4585_tol,2,3,|2|3|1|,|231|||,5,0,1,3,61510,19903,1965,0
T1_4585_tol,2,3,|23||1|,|231|||,6,0,1,3,63467,21860,1957,0
T1_4585_tol,2,3,|231|||,|231|||,7,0,1,6,65297,23690,1830,1
T1_4585_tol,3,3,|2|1|3|,||2|13|,0,0,1,6,66810,0,0,0
T1_4585_tol,3,3,|23|1||,||2|13|,1,0,1,6,74256,7446,7446,0
T1_4585_tol,3,3,|23||1|,||2|13|,2,0,1,6,77542,10732,3286,0
T1_4585_tol,3,3,|2||13|,||2|13|,3,0,1,6,79512,12702,1970,0
T1_4585_tol,3,3,||2|13|,||2|13|,4,0,1,9,82922,16112,3410,1
T1_4585_tol,4,3,|1||32|,||1|32|,0,0,1,9,84026,0,0,0
T1_4585_tol,4,3,||1|32|,||1|32|,1,0,1,12,87177,3151,3151,1
T1_4585_tol,5,3,|||321|,|23|1||,0,0,1,12,90044,0,0,0
T1_4585_tol,5,3,||1|32|,|23|1||,1,0,1,12,95133,5089,5089,0
T1_4585_tol,5,3,|2|1|3|,|23|1||,2,0,1,12,98369,8325,3236,0
T1_4585_tol,5,3,|23|1||,|23|1||,3,0,1,15,100113,10069,1744,1
T1_4585_tol,6,3,|23||1|,|31||2|,0,0,1,15,101188,0,0,0
T1_4585_tol,6,3,|2|3|1|,|31||2|,1,0,1,15,108673,7485,7485,0
T1_4585_tol,6,3,||32|1|,|31||2|,2,0,1,15,110950,9762,2277,0
T1_4585_tol,6,3,||32|1|,|31||2|,3,0,1,15,114587,13399,3637,0
T1_4585_tol,6,3,||3|12|,|31||2|,4,0,1,15,118520,17332,3933,0
T1_4585_tol,6,3,|3||12|,|31||2|,5,0,1,15,120200,19012,1680,0
T1_4585_tol,6,3,|3|2|1|,|31||2|,6,0,1,15,122515,21327,2315,0
T1_4585_tol,6,3,|31|2||,|31||2|,7,0,1,15,124023,22835,1508,0
T1_4585_tol,6,3,|31||2|,|31||2|,8,0,1,18,125649,24461,1626,1
T1_4585_tol,7,3,|12|3||,||2|13|,0,0,1,18,126486,0,0,0
T1_4585_tol,7,3,|1|32||,||2|13|,1,0,1,18,130329,3843,3843,0
T1_4585_tol,7,3,||32|1|,||2|13|,2,0,1,18,131710,5224,1381,0
T1_4585_tol,7,3,|2|3|1|,||2|13|,3,0,1,18,134764,8278,3054,0
T1_4585_tol,7,3,|2||13|,||2|13|,4,0,1,18,136433,9947,1669,0
T1_4585_tol,7,3,||2|13|,||2|13|,5,0,1,21,138061,11575,1628,1
T1_4585_tol,8,3,|2|3|1|,|2|1|3|,0,0,1,21,139181,0,0,0
T1_4585_tol,8,3,|21|3||,|2|1|3|,1,0,1,21,145171,5990,5990,0
T1_4585_tol,8,3,|21||3|,|2|1|3|,2,0,1,21,148146,8965,2975,0
T1_4585_tol,8,3,|2|1|3|,|2|1|3|,3,0,1,24,149649,10468,1503,1
T1_4585_tol,9,4,|314|2||,|31|2|4|,0,0,1,24,150384,0,0,0
T1_4585_tol,9,4,|31|2|4|,|31|2|4|,1,0,1,27,153981,3597,3597,1
T1_4585_tol,10,4,|3|4|21|,||2341||,0,0,1,27,155963,0,0,0
T1_4585_tol,10,4,|34||21|,||2341||,1,0,1,27,163651,7688,7688,0
T1_4585_tol,10,4,|341||2|,||2341||,2,0,1,27,165298,9335,1647,0
T1_4585_tol,10,4,|341|2||,||2341||,3,0,1,27,167259,11296,1961,0
T1_4585_tol,10,4,|34|2|1|,||2341||,4,0,1,27,169699,13736,2440,0
T1_4585_tol,10,4,|3|2|14|,||2341||,5,0,1,27,172056,16093,2357,0
T1_4585_tol,10,4,||23|14|,||2341||,6,0,1,27,173544,17581,1488,0
T1_4585_tol,10,4,||234|1|,||2341||,7,0,1,27,174953,18990,1409,0
T1_4585_tol,10,4,||2341||,||2341||,8,0,1,30,176149,20186,1196,1
T1_4585_tol,11,4,|2|1|43|,|24||13|,0,0,1,30,176857,0,0,0
T1_4585_tol,11,4,|23|1|4|,|24||13|,1,0,1,30,181697,4840,4840,0
T1_4585_tol,11,4,|234|1||,|24||13|,2,0,1,30,184114,7257,2417,0
T1_4585_tol,11,4,|234||1|,|24||13|,3,0,1,30,185796,8939,1682,0
T1_4585_tol,11,4,|23|4|1|,|24||13|,4,0,1,30,188390,11533,2594,0
T1_4585_tol,11,4,|2|4|13|,|24||13|,5,0,1,30,190040,13183,1650,0
T1_4585_tol,11,4,|24||13|,|24||13|,6,0,1,33,191643,14786,1603,1
T1_4585_tol,12,4,|2|13|4|,|42|1|3|,0,0,1,33,192317,0,0,0
T1_4585_tol,12,4,|24|13||,|42|1|3|,1,0,1,33,195681,3364,3364,0
T1_4585_tol,12,4,|24|1|3|,|42|1|3|,2,0,1,33,197579,5262,1898,0
T1_4585_tol,12,4,|2|1|34|,|42|1|3|,3,0,1,33,200166,7849,2587,0
T1_4585_tol,12,4,||12|34|,|42|1|3|,4,0,1,33,201883,9566,1717,0
T1_4585_tol,12,4,|4|12|3|,|42|1|3|,5,0,1,33,203746,11429,1863,0
T1_4585_tol,12,4,|42|1|3|,|42|1|3|,6,0,1,36,205083,12766,1337,1
T1_4585_tol,13,4,|132||4|,|241||3|,0,0,1,36,205890,0,0,0
T1_4585_tol,13,4,|132|4||,|241||3|,1,0,1,36,209582,3692,3692,0
T1_4585_tol,13,4,|13|42||,|241||3|,2,0,1,36,211570,5680,1988,0
T1_4585_tol,13,4,|1|42|3|,|241||3|,3,0,1,36,213016,7126,1446,0
T1_4585_tol,13,4,||42|31|,|241||3|,4,0,1,36,215729,9839,2713,0
T1_4585_tol,13,4,|2|4|31|,|241||3|,5,0,1,36,216916,11026,1187,0
T1_4585_tol,13,4,|24||31|,|241||3|,6,0,1,36,218883,12993,1967,0
T1_4585_tol,13,4,|241||3|,|241||3|,7,0,1,39,220292,14402,1409,1
T1_4585_tol,14,4,|24|31||,|4|3|21|,0,0,1,39,221101,0,0,0
T1_4585_tol,14,4,|2|314||,|4|3|21|,1,0,1,39,227537,6436,6436,0
T1_4585_tol,14,4,||314|2|,|4|3|21|,2,0,1,39,229913,8812,2376,0
T1_4585_tol,14,4,|4|31|2|,|4|3|21|,3,0,1,39,231707,10606,1794,0
T1_4585_tol,14,4,|4|3|21|,|4|3|21|,4,0,1,42,233673,12572,1966,1
T1_4585_tol,15,4,|214||3|,|12|4|3|,0,0,1,42,234464,0,0,0
T1_4585_tol,15,4,|21|4|3|,|12|4|3|,1,0,1,42,237850,3386,3386,0
T1_4585_tol,15,4,|2|41|3|,|12|4|3|,2,0,1,42,239283,4819,1433,0
T1_4585_tol,15,4,||41|32|,|12|4|3|,3,0,1,42,240667,6203,1384,0
T1_4585_tol,15,4,|1|4|32|,|12|4|3|,4,0,1,42,242149,7685,1482,0
T1_4585_tol,15,4,|12|4|3|,|12|4|3|,5,0,1,45,243811,9347,1662,1
T1_4585_tol,16,4,|4||231|,|21|4|3|,0,0,1,45,244564,0,0,0
T1_4585_tol,16,4,||4|231|,|21|4|3|,1,0,1,45,248535,3971,3971,0
T1_4585_tol,16,4,||41|23|,|21|4|3|,2,0,1,45,250709,6145,2174,0
T1_4585_tol,16,4,||413|2|,|21|4|3|,3,0,1,45,252841,8277,2132,0
T1_4585_tol,16,4,|2|413||,|21|4|3|,4,0,1,45,254412,9848,1571,0
T1_4585_tol,16,4,|2|41|3|,|21|4|3|,5,0,1,45,256078,11514,1666,0
T1_4585_tol,16,4,|21|4|3|,|21|4|3|,6,0,1,48,257292,12728,1214,1
T1_4585_tol,17,5,|21||543|,|2|51|34|,0,0,1,48,258081,0,0,0
T1_4585_tol,17,5,|21||543|,|2|51|34|,1,0,1,48,264949,6868,6868,0
T1_4585_tol,17,5,|213||54|,|2|51|34|,2,0,1,48,266700,8619,1751,0
T1_4585_tol,17,5,|2134||5|,|2|51|34|,3,0,1,48,268652,10571,1952,0
T1_4585_tol,17,5,|2134|5||,|2|51|34|,4,0,1,48,270245,12164,1593,0
T1_4585_tol,17,5,|213|54||,|2|51|34|,5,0,1,48,272252,14171,2007,0
T1_4585_tol,17,5,|21|54|3|,|2|51|34|,6,0,1,48,273810,15729,1558,0
T1_4585_tol,17,5,|21|5|34|,|2|51|34|,7,0,1,48,275665,17584,1855,0
T1_4585_tol,17,5,|2|51|34|,|2|51|34|,8,0,1,51,277257,19176,1592,1
T1_4585_tol,18,5,|41|25|3|,|2|143|5|,0,0,1,51,278004,0,0,0
T1_4585_tol,18,5,|413|25||,|2|143|5|,1,0,1,51,280968,2964,2964,0
T1_4585_tol,18,5,|413|2|5|,|2|143|5|,2,0,1,51,282278,4274,1310,0
T1_4585_tol,18,5,|41|2|53|,|2|143|5|,3,0,1,51,288893,10889,6615,0
T1_4585_tol,18,5,|412||53|,|2|143|5|,4,0,1,51,291720,13716,2827,0
T1_4585_tol,18,5,|41||532|,|2|143|5|,5,0,1,51,294812,16808,3092,0
T1_4585_tol,18,5,|4|1|532|,|2|143|5|,6,0,1,51,296189,18185,1377,0
T1_4585_tol,18,5,||14|532|,|2|143|5|,7,0,1,51,297638,19634,1449,0
T1_4585_tol,18,5,|2|14|53|,|2|143|5|,8,0,1,51,299751,21747,2113,0
T1_4585_tol,18,5,|2|143|5|,|2|143|5|,9,0,1,54,301048,23044,1297,1
T1_4585_tol,19,5,||42531||,||243|51|,0,0,1,54,301819,0,0,0
T1_4585_tol,19,5,|1|4253||,||243|51|,1,0,1,54,306560,4741,4741,0
T1_4585_tol,19,5,|13|425||,||243|51|,2,0,1,54,308100,6281,1540,0
T1_4585_tol,19,5,|13|42|5|,||243|51|,3,0,1,54,309992,8173,1892,0
T1_4585_tol,19,5,|1|423|5|,||243|51|,4,0,1,54,311564,9745,1572,0
T1_4585_tol,19,5,||423|51|,||243|51|,5,0,1,54,313394,11575,1830,0
T1_4585_tol,19,5,||42|513|,||243|51|,6,0,1,54,315507,13688,2113,0
T1_4585_tol,19,5,|2|4|513|,||243|51|,7,0,1,54,316878,15059,1371,0
T1_4585_tol,19,5,|24||513|,||243|51|,8,0,1,54,318522,16703,1644,0
T1_4585_tol,19,5,|2||5134|,||243|51|,9,0,1,54,321303,19484,2781,0
T1_4585_tol,19,5,||2|5134|,||243|51|,10,0,1,54,322721,20902,1418,0
T1_4585_tol,19,5,||24|513|,||243|51|,11,0,1,54,323944,22125,1223,0
T1_4585_tol,19,5,||243|51|,||243|51|,12,0,1,57,325109,23290,1165,1
T1_4585_tol,20,5,|3|215|4|,|5|2143||,0,0,1,57,325918,0,0,0
T1_4585_tol,20,5,||215|43|,|5|2143||,1,0,1,57,328903,2985,2985,0
T1_4585_tol,20,5,|5|21|43|,|5|2143||,2,0,1,57,330290,4372,1387,0
