sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T0_4569_Tol,1,3,||31|2|,|2||13|,0,0,1,0,47086,0,0,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,1,0,1,0,55444,8358,8358,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,2,0,1,0,60344,13258,4900,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,3,0,1,0,67354,20268,7010,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,4,0,1,0,68998,21912,1644,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,5,0,1,0,73238,26152,4240,0,0,0
T0_4569_Tol,1,3,||312||,|2||13|,6,0,1,0,74294,27208,1056,0,0,0
T0_4569_Tol,1,3,|2|31||,|2||13|,7,0,1,0,93010,45924,18716,0,0,0
T0_4569_Tol,1,3,|2|3|1|,|2||13|,8,0,1,0,100611,53525,7601,0,0,0
T0_4569_Tol,1,3,|23||1|,|2||13|,9,0,1,0,106279,59193,5668,0,0,0
T0_4569_Tol,1,3,|23|1||,|2||13|,10,0,1,0,108371,61285,2092,0,0,0
T0_4569_Tol,1,3,|2|13||,|2||13|,11,0,1,0,110547,63461,2176,0,0,0
T0_4569_Tol,1,3,|23|1||,|2||13|,12,0,1,0,121496,74410,10949,0,0,0
T0_4569_Tol,1,3,|23||1|,|2||13|,13,0,1,0,122959,75873,1463,0,0,0
T0_4569_Tol,1,3,|2||13|,|2||13|,14,0,1,3,125026,77940,2067,1,3,0
T0_4569_Tol,2,3,|2|3|1|,|||123|,0,0,1,3,126725,0,0,0,0,0
T0_4569_Tol,2,3,|21|3||,|||123|,1,0,1,3,132177,5452,5452,0,0,0
T0_4569_Tol,2,3,|213|||,|||123|,2,0,1,3,138788,12063,6611,0,0,0
T0_4569_Tol,2,3,|21|3||,|||123|,3,0,1,3,141837,15112,3049,0,0,0
T0_4569_Tol,2,3,|2|3|1|,|||123|,4,0,1,3,145315,18590,3478,0,0,0
T0_4569_Tol,2,3,||3|12|,|||123|,5,0,1,3,148127,21402,2812,0,0,0
T0_4569_Tol,2,3,|||123|,|||123|,6,0,1,6,149990,23265,1863,1,2,6
T0_4569_Tol,3,3,|1|32||,|13||2|,0,0,1,6,151408,0,0,0,0,6
T0_4569_Tol,3,3,|1|3|2|,|13||2|,1,0,1,6,154874,3466,3466,0,0,6
T0_4569_Tol,3,3,|13||2|,|13||2|,2,0,1,9,158516,7108,3642,1,2,16
T0_4569_Tol,4,3,|21||3|,|2||13|,0,0,1,9,160429,0,0,0,0,16
T0_4569_Tol,4,3,|21|3||,|2||13|,1,0,1,9,166364,5935,5935,0,0,16
T0_4569_Tol,4,3,|2|3|1|,|2||13|,2,0,1,9,167740,7311,1376,0,0,16
T0_4569_Tol,4,3,|2||13|,|2||13|,3,0,1,12,169848,9419,2108,1,3,26
T0_4569_Tol,5,3,|2|13||,|||132|,0,0,1,12,171153,0,0,0,0,26
T0_4569_Tol,5,3,|23|1||,|||132|,1,0,1,12,174351,3198,3198,0,0,26
T0_4569_Tol,5,3,|23||1|,|||132|,2,0,1,12,175725,4572,1374,0,0,26
T0_4569_Tol,5,3,|2|3|1|,|||132|,3,0,1,12,177305,6152,1580,0,0,26
T0_4569_Tol,5,3,||3|12|,|||132|,4,0,1,12,178783,7630,1478,0,0,26
T0_4569_Tol,5,3,|2|3|1|,|||132|,5,0,1,12,181423,10270,2640,0,0,26
