sub,trial,size,current,end,step,reset,tries,score,abstime,trialtime,clicktime,done,movimentos_minimos,pontuacao_acumulada
T1_4570_tol,1,3,|32||1|,|1|2|3|,0,0,1,0,18458,0,0,0,0,0
T1_4570_tol,1,3,|3|2|1|,|1|2|3|,1,0,1,0,32508,14050,14050,0,0,0
T1_4570_tol,1,3,||23|1|,|1|2|3|,2,0,1,0,34361,15903,1853,0,0,0
T1_4570_tol,1,3,|1|23||,|1|2|3|,3,0,1,0,35214,16756,853,0,0,0
T1_4570_tol,1,3,|1|2|3|,|1|2|3|,4,0,1,3,36347,17889,1133,1,4,10
T1_4570_tol,2,3,|2||13|,|13||2|,0,0,1,3,38682,0,0,0,0,10
T1_4570_tol,2,3,||2|13|,|13||2|,1,0,1,3,43046,4364,4364,0,0,10
T1_4570_tol,2,3,||23|1|,|13||2|,2,0,1,3,44040,5358,994,0,0,10
T1_4570_tol,2,3,|1|23||,|13||2|,3,0,1,3,44855,6173,815,0,0,10
T1_4570_tol,2,3,|13|2||,|13||2|,4,0,1,3,45641,6959,786,0,0,10
T1_4570_tol,2,3,|13||2|,|13||2|,5,0,1,6,46329,7647,688,1,5,20
T1_4570_tol,3,3,|31|2||,||2|31|,0,0,1,6,47258,0,0,0,0,20
T1_4570_tol,3,3,|3|21||,||2|31|,1,0,1,6,50111,2853,2853,0,0,20
T1_4570_tol,3,3,||21|3|,||2|31|,2,0,1,6,50790,3532,679,0,0,20
T1_4570_tol,3,3,||2|31|,||2|31|,3,0,1,9,51456,4198,666,1,3,30
T1_4570_tol,4,3,|2|31||,|31|2||,0,0,1,9,52186,0,0,0,0,30
T1_4570_tol,4,3,||31|2|,|31|2||,1,0,1,9,54720,2534,2534,0,0,30
T1_4570_tol,4,3,||3|21|,|31|2||,2,0,1,9,55590,3404,870,0,0,30
T1_4570_tol,4,3,|3||21|,|31|2||,3,0,1,9,56391,4205,801,0,0,30
T1_4570_tol,4,3,|3|1|2|,|31|2||,4,0,1,9,57255,5069,864,0,0,30
T1_4570_tol,4,3,|31||2|,|31|2||,5,0,1,9,58501,6315,1246,0,0,30
T1_4570_tol,4,3,|31|2||,|31|2||,6,0,1,12,59611,7425,1110,1,5,39
T1_4570_tol,5,3,||321||,|2|13||,0,0,1,12,60151,0,0,0,0,39
T1_4570_tol,5,3,||32|1|,|2|13||,1,0,1,12,62965,2814,2814,0,0,39
T1_4570_tol,5,3,|2|3|1|,|2|13||,2,0,1,12,64540,4389,1575,0,0,39
T1_4570_tol,5,3,|2||13|,|2|13||,3,0,1,12,65468,5317,928,0,0,39
T1_4570_tol,5,3,|23||1|,|2|13||,4,0,1,12,69108,8957,3640,0,0,39
T1_4570_tol,5,3,|23|1||,|2|13||,5,0,1,12,70403,10252,1295,0,0,39
T1_4570_tol,5,3,|2|13||,|2|13||,6,0,1,15,71096,10945,693,1,5,48
T1_4570_tol,6,3,|2|1|3|,|2||13|,0,0,1,15,71784,0,0,0,0,48
T1_4570_tol,6,3,|23|1||,|2||13|,1,0,1,15,74570,2786,2786,0,0,48
T1_4570_tol,6,3,|23||1|,|2||13|,2,0,1,15,75409,3625,839,0,0,48
T1_4570_tol,6,3,|2||13|,|2||13|,3,0,1,18,76297,4513,888,1,3,58
T1_4570_tol,7,3,|3|2|1|,|13|2||,0,0,1,18,76946,0,0,0,0,58
